reviews,ratings
I've been playing for years now and it's been quite addictive.... But can u the developers just plss fix the issue of I not seeing enemies at far distances which always makes me vulnerable to surprise attacks.... And also I've always had the privilege in past to play with high frame rate but now it's only low frame rate I can use to play which's depressing....,4
"An annoying experience all round. Ever since the update for season 4 ( wild dogs). I have been unable to enjoy a game without the game running like a cracked CD. For the interests of the player and developer, I suggest you reverse whatever "" upgrade "" was done. Don't forget that when you continually buff up the storage size of games and run time, the phones remain the same. I must not necessarily have a high end thousand dollar devices to play your game.",1
"I love the game though. It's close to real, but the greatest problem is the consistent upgrades with very large storage taken. It reduces the functionality of the game. One would think that after all that, the game should be offline but it's frustratingly online. The developers have to reconsider, if not their players may drop over a period of time due to the games over capacity. Also noticed that the developers don't respond to people's reviews which means the care less about it. Look into it.",3
I've been playing for years now and it's been quite addictive.... But can u the developers just plss fix the issue of I not seeing enemies at far distances which always makes me vulnerable to surprise attacks.... And also I've always had the privilege in past to play with high frame rate but now it's only low frame rate I can use to play which's depressing....,4
"An annoying experience all round. Ever since the update for season 4 ( wild dogs). I have been unable to enjoy a game without the game running like a cracked CD. For the interests of the player and developer, I suggest you reverse whatever "" upgrade "" was done. Don't forget that when you continually buff up the storage size of games and run time, the phones remain the same. I must not necessarily have a high end thousand dollar devices to play your game.",1
COD happens to be my best mobile game but with each update it becomes less enjoyable largely due to the game lagging. Once I get shot at the game freezes and the next thing I know is game over. This happens mostly when on BR mode. Kindly help resolve this because it's taking the fun out of the game for me and I'm sure there are a lot more people experiencing this issue.,2
"Codm is awesome and I can guarantee is the best shooting game you can ever played. I've been playing this awesome game since season 1. But the only problem is that the file is getting more and more. Imagine 16.4GB in all total download, and you can't even enjoyed if you have 4GB ram phone because the game is too large. And the purchase is really expensive!. Anything from that is totally awesome. I really recommend this.",5
"Easy y 3 stars, I would give it a 4 star but nope, the BR should be based on reality, the idea of getting shot or shoot while in water is helpful but not needful, then a vehicle, when i decide to shoot the tire of a vehicle it should deflate instead of the whole vehicle exploding it's not fun. And the most annoying part if when there is a new update, I don't understand why we have to redownload every camo for guns and car, audio and soldier, if it's a new map it's ok. Pls read and try to fix.",3
"Wonderful concept and graphics; gameplay 10 outta 10; interactivity is seamless; community and connectivity superb. Just one issue with me- too many updates! I mean the amount of times you need to update this game in a year is frustrating as heck; as I type, I'm updating the app yet again for exciting new content, but with the drawback of needing to restore all my previous content. If Activision could do something about this, this app would be a guaranteed 5. Thanks for the hardwork though👍",4
"I'm simply in love with this game. The graphics are good, never boring thanks to the events. Also there was the nerf of persistence that made the modes hardpoint and domination playable again. The only problem I have, since the last update of season 5, is the ping issue: sometimes during a match, much more often when I enter a gunfight, my ping flies from 30ms to 100ms, making me lose the gunfight. But overall I highly recommend downloading it for one of the best mobile experiences.",5
